town,location,latitude,longitude,opening,closing,cumDistance,dfIndex,csvIndex
Darwin,State Square Start Line,-12.4660107,130.8432822,Sunday 22 October / 07:00,Sunday 22 October / 09:00,0.0,0,2
Katherine,Transport Weighbridge,-14.481386,132.3251603,Sunday 22 October / 11:00,Sunday 22 October / 17:00,323046.40659192,1703,1705
Dunmarra, Dunmarra Wayside Inn,-16.6796594,133.4126208,Sunday 22 October / 15:00,Monday 23 October / 12:00,634104.056068814,2485,2487
Tennant Creek,Tennant Creek Weighbridge,-19.6576889,134.1884877,Monday 23 October / 11:00,Tuesday 24 October / 10:00,990065.645214209,3259,3261
Barrow Creek,Barrow Creek Hotel,-21.53066,133.88878,Monday 23 October / 14:00,Tuesday 24 October / 14:00,1213580.13387552,3666,3668
Alice Springs,Traeger Park,-23.7090616,133.8750197,Tuesday 24 October / 09:00,Wednesday 25 October / 10:00,1497797.59471453,4347,4349
Erldunda, Erldunda Roadhouse,-25.1975178,133.2006915,Tuesday 24 October / 11:00,Wednesday 25 October / 13:00,1695974.59383569,5162,5164
Coober Pedy,Coober Pedy Oval,-29.0181075,134.753619,Wednesday 25 October / 08:00,Thursday 26 October / 13:00,2183024.30260704,7301,7303
Glendambo, Glendambo Outback Resort,-30.969404,135.75052,Wednesday 25 October / 12:00,Thursday 26 October / 17:00,2435933.63149557,8548,8550
Port Augusta,Central Oval,-32.4924282,137.7716988,Wednesday 25 October / 14:00,Friday 27 October / 16:00,2721527.69592345,9945,9947
Adelaide, City of Adelaide Finish Line,-34.928189,138.600712,Thursday 26 October / 09:00,Saturday 28 October / 14:00,3026918.49405124,12091,12093
